Country,Region
Afghanistan,Asia (Southern Asia)
Albania,Europe (Southern Europe)
Algeria,Africa (Northern Africa)
American Samoa,Oceania (Polynesia)
Andorra,Europe (Southern Europe)
Angola,Africa (Central Africa)
Anguilla,Americas (Caribbean)
Antigua and Barbuda,Americas (Caribbean)
Argentina,Americas (South America)
Armenia,Asia (Western Asia)
Aruba,Americas (Caribbean)
Australia,Oceania (Australia and New Zealand)
Austria,Europe (Western Europe)
Azerbaijan,Asia (Western Asia)
Bahamas,Americas (Caribbean)
Bahrain,Asia (Western Asia)
Bangladesh,Asia (Southern Asia)
Barbados,Americas (Caribbean)
Belarus,Europe (Eastern Europe)
Belgium,Europe (Western Europe)
Belize,Americas (Central America)
Benin,Africa (Western Africa)
Bermuda,Americas (North America)
Bhutan,Asia (Southern Asia)
"Bolivia, Plurinational State of",Americas (South America)
Bosnia and Herzegovina,Europe (Southern Europe)
Botswana,Africa (Southern Africa)
Brazil,Americas (South America)
"Virgin Islands, British",Americas (Caribbean)
Brunei,Asia (Southeastern Asia)
Bulgaria,Europe (Eastern Europe)
Burkina Faso,Africa (Western Africa)
Burundi,Africa (Eastern Africa)
Cape Verde,Africa (Western Africa)
Cambodia,Asia (Southeastern Asia)
Cameroon,Africa (Central Africa)
Canada,Americas (North America)
Cayman Islands,Americas (Caribbean)
Central African Republic,Africa (Central Africa)
Chad,Africa (Central Africa)
Chile,Americas (South America)
China,Asia (Eastern Asia)
Hong Kong,Asia (Eastern Asia)
Macao,Asia (Eastern Asia)
Taiwan,Asia (Eastern Asia)
Colombia,Americas (South America)
Comoros,Africa (Eastern Africa)
Congo,Africa (Central Africa)
Cook Islands,Oceania (Polynesia)
Costa Rica,Americas (Central America)
Croatia,Europe (Southern Europe)
Cuba,Americas (Caribbean)
Cyprus,Asia (Western Asia)
Czech Republic,Europe (Eastern Europe)
Ivory Coast,Africa (Western Africa)
"Korea, Democratic People's Republic of",Asia (Eastern Asia)
"Congo, the Democratic Republic of the",Africa (Central Africa)
Denmark,Europe (Northern Europe)
Djibouti,Africa (Eastern Africa)
Dominica,Americas (Caribbean)
Dominican Republic,Americas (Caribbean)
Ecuador,Americas (South America)
Egypt,Africa (Northern Africa)
El Salvador,Americas (Central America)
Equatorial Guinea,Africa (Central Africa)
Eritrea,Africa (Eastern Africa)
Estonia,Europe (Northern Europe)
Swaziland,Africa (Southern Africa)
Ethiopia,Africa (Eastern Africa)
Falkland Islands (Malvinas),Americas (South America)
Faroe Islands,Europe (Northern Europe)
Fiji,Oceania (Melanesia)
Finland,Europe (Northern Europe)
France,Europe (Western Europe)
French Guiana,Americas (South America)
French Polynesia,Oceania (Polynesia)
Gabon,Africa (Central Africa)
Gambia,Africa (Western Africa)
Georgia,Asia (Western Asia)
Germany,Europe (Western Europe)
Ghana,Africa (Western Africa)
Gibraltar,Europe (Southern Europe)
Greece,Europe (Southern Europe)
Greenland,Americas (North America)
Grenada,Americas (Caribbean)
Guadeloupe,Americas (Caribbean)
Guam,Oceania (Micronesia)
Guatemala,Americas (Central America)
Guinea,Africa (Western Africa)
Guinea-Bissau,Africa (Western Africa)
Guyana,Americas (South America)
Haiti,Americas (Caribbean)
Honduras,Americas (Central America)
Hungary,Europe (Eastern Europe)
Iceland,Europe (Northern Europe)
India,Asia (Southern Asia)
Indonesia,Asia (Southeastern Asia)
"Iran, Islamic Republic of",Asia (Western Asia)
Iraq,Asia (Western Asia)
Ireland,Europe (Northern Europe)
Isle of Man,Europe (Western Europe)
Israel,Asia (Western Asia)
Italy,Europe (Southern Europe)
Jamaica,Americas (Caribbean)
Japan,Asia (Eastern Asia)
Jordan,Asia (Western Asia)
Kazakhstan,Asia (Central Asia)
Kenya,Africa (Eastern Africa)
Kiribati,Oceania (Micronesia)
Kuwait,Asia (Western Asia)
Kyrgyzstan,Asia (Central Asia)
Lao People's Democratic Republic,Asia (Southeastern Asia)
Latvia,Europe (Northern Europe)
Lebanon,Asia (Western Asia)
Lesotho,Africa (Southern Africa)
Liberia,Africa (Western Africa)
Libyan Arab Jamahiriya,Africa (Northern Africa)
Liechtenstein,Europe (Western Europe)
Lithuania,Europe (Northern Europe)
Luxembourg,Europe (Western Europe)
Madagascar,Africa (Eastern Africa)
Malawi,Africa (Eastern Africa)
Malaysia,Asia (Southeastern Asia)
Maldives,Asia (Southern Asia)
Mali,Africa (Western Africa)
Malta,Europe (Southern Europe)
Marshall Islands,Oceania (Micronesia)
Martinique,Americas (Caribbean)
Mauritania,Africa (Western Africa)
Mauritius,Africa (Eastern Africa)
Mayotte,Africa (Eastern Africa)
Mexico,Americas (North America)
"Micronesia, Federated States of",Oceania (Micronesia)
Monaco,Europe (Western Europe)
Mongolia,Asia (Eastern Asia)
Montenegro,Europe (Southern Europe)
Montserrat,Americas (Caribbean)
Morocco,Africa (Northern Africa)
Mozambique,Africa (Eastern Africa)
Burma,Asia (Southeastern Asia)
Namibia,Africa (Southern Africa)
Nauru,Oceania (Micronesia)
Nepal,Asia (Southern Asia)
Netherlands,Europe (Western Europe)
New Caledonia,Oceania (Melanesia)
New Zealand,Oceania (Australia and New Zealand)
Nicaragua,Americas (Central America)
Niger,Africa (Western Africa)
Nigeria,Africa (Western Africa)
Niue,Oceania (Polynesia)
"Macedonia, the former Yugoslav Republic of",Europe (Southern Europe)
Northern Mariana Islands,Oceania (Micronesia)
Norway,Europe (Northern Europe)
Oman,Asia (Western Asia)
Pakistan,Asia (Southern Asia)
Palau,Oceania (Micronesia)
Panama,Americas (Central America)
Papua New Guinea,Oceania (Melanesia)
Paraguay,Americas (South America)
Peru,Americas (South America)
Philippines,Asia (Southeastern Asia)
Poland,Europe (Eastern Europe)
Portugal,Europe (Southern Europe)
Puerto Rico,Americas (Caribbean)
Qatar,Asia (Western Asia)
South Korea,Asia (Eastern Asia)
"Moldova, Republic of",Europe (Eastern Europe)
Romania,Europe (Eastern Europe)
Russia,Europe (Eastern Europe)
Rwanda,Africa (Eastern Africa)
Réunion,Africa (Eastern Africa)
"Saint Helena, Ascension and Tristan da Cunha",Africa (Western Africa)
Saint Kitts and Nevis,Americas (Caribbean)
Saint Lucia,Americas (Caribbean)
Saint Pierre and Miquelon,Americas (North America)
Saint Vincent and the Grenadines,Americas (Caribbean)
Samoa,Oceania (Polynesia)
San Marino,Europe (Southern Europe)
Sao Tome and Principe,Africa (Central Africa)
Saudi Arabia,Asia (Western Asia)
Senegal,Africa (Western Africa)
Serbia,Europe (Southern Europe)
Seychelles,Africa (Eastern Africa)
Sierra Leone,Africa (Western Africa)
Singapore,Asia (Southeastern Asia)
Slovakia,Europe (Eastern Europe)
Slovenia,Europe (Southern Europe)
Solomon Islands,Oceania (Melanesia)
Somalia,Africa (Eastern Africa)
South Africa,Africa (Southern Africa)
